,supplier_name,supplier_part_no,customer_name,customer_part_no,manufacture_name,site_db,site,arn_no,asn_no,invoice_no,asn_status,iscanceled,quantity,asn_create_datetime
586052,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,EVMI2CD,CD,A000730574,N000661589,90387237,Normal,0,172800,2021/12/18 14:00
586053,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,EVMI2CD,CD,A000733039,N000663328,90387713,Normal,0,72000,2021/12/25 11:41
586054,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,EVMI2CD,CD,A000733374,N000663640,90387844,Normal,0,172800,2021/12/27 16:07
586055,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,EVMI2CD,CD,A000739282,N000668641,90389086,Normal,0,72000,2022/1/17 9:05
586056,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,EVMI2CD,CD,A000740173,N000669321,90389234,Normal,0,172800,2022/1/19 14:58
586057,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,EVMI2CD,CD,A000740190,N000669336,90389220,Normal,0,108000,2022/1/19 15:36
586058,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,EVMI2CD,CD,A000741103,N000670036,90389507,Normal,0,172800,2022/1/21 17:46
586059,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,EVMI2CD,CD,A000741104,N000670037,90389505,Normal,0,28800,2022/1/21 17:51
586060,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,EVMI2CD,CD,A000744343,N000672854,90390404,Normal,0,172800,2022/2/12 9:08
586061,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,EVMI2CD,CD,A000744449,N000672961,90390463,Normal,0,129600,2022/2/12 14:03
586062,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,EVMI2CD,CD,A000744635,N000673124,90390527,Normal,0,86400,2022/2/14 11:46
586063,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,EVMI2CD,CD,A000747102,N000675232,90390697,Normal,0,172800,2022/2/18 11:18
586064,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,EVMI2CD,CD,A000747103,N000675233,90390751,Normal,0,144000,2022/2/18 11:19
586065,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,EVMI2CD,CD,A000748406,N000676399,90390993,Normal,0,14400,2022/2/23 9:17
586066,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,EVMI2CD,CD,A000748410,N000676403,90391045,Normal,0,172800,2022/2/23 9:21
586067,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,EVMI2CD,CD,A000748856,N000676814,90391210,Normal,0,108000,2022/2/24 11:46
586068,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,EVMI2CD,CD,A000748859,N000676815,90391211,Normal,0,108000,2022/2/24 11:47
586069,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,EVMI2CD,CD,A000750012,N000677812,90391454,Normal,0,100800,2022/2/28 14:05
586070,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,EVMI2CD,CD,A000751805,N000679446,90391792,Normal,0,144000,2022/3/5 15:29
586071,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,EVMI2CD,CD,A000751806,N000679447,90391793,Normal,0,158400,2022/3/5 15:29
586072,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,EVMI2CD,CD,A000752640,N000680209,90391905,Normal,0,14400,2022/3/9 8:49
586073,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,EVMI2CD,CD,A000753994,N000681434,90392299,Normal,0,172800,2022/3/12 11:34
586074,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,EVMI2CD,CD,A000753995,N000681435,90392318,Normal,0,172800,2022/3/12 11:34
586075,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,EVMI2CD,CD,A000756442,N000683515,90392649,Normal,0,158400,2022/3/19 17:56
586076,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,EVMI2CD,CD,A000756443,N000683516,90392650,Normal,0,129600,2022/3/19 17:57
586077,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,EVMI2CD,CD,A000758176,N000684950,90392980,Normal,0,144000,2022/3/25 9:58
586078,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,EVMI2CD,CD,A000758177,N000684951,90393014,Normal,0,64800,2022/3/25 9:58
