,index,customer_name,customer_part_no,site_db,eta,quantity,time_idx
563,563,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2424132724b8f4a645c5e61476316993,EVMI2CD,2022/9/12,37,7
564,564,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2424132724b8f4a645c5e61476316993,EVMI2CD,2022/10/10,795,8
565,565,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2424132724b8f4a645c5e61476316993,EVMI2CD,2022/11/7,1045,9
566,566,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2424132724b8f4a645c5e61476316993,EVMI2CD,2022/12/5,179,10
567,567,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2424132724b8f4a645c5e61476316993,EVMI2CD,2023/1/2,792,11
568,568,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2c192e5e77d147d6313a9dd3754c9a79,EVMI2CD,2022/1/10,4365,0
569,569,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2c192e5e77d147d6313a9dd3754c9a79,EVMI2CD,2022/2/7,8190,1
570,570,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2c192e5e77d147d6313a9dd3754c9a79,EVMI2CD,2022/3/7,27260,2
571,571,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2c192e5e77d147d6313a9dd3754c9a79,EVMI2CD,2022/4/4,19461,3
572,572,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2c192e5e77d147d6313a9dd3754c9a79,EVMI2CD,2022/5/2,11183,4
573,573,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2c192e5e77d147d6313a9dd3754c9a79,EVMI2CD,2022/5/30,4896,5
574,574,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2c192e5e77d147d6313a9dd3754c9a79,EVMI2CD,2022/6/27,16055,6
575,575,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2c192e5e77d147d6313a9dd3754c9a79,EVMI2CD,2022/7/25,5605,7
576,576,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2c192e5e77d147d6313a9dd3754c9a79,EVMI2CD,2022/8/22,23172,8
577,577,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2c192e5e77d147d6313a9dd3754c9a79,EVMI2CD,2022/9/19,200,9
578,578,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2c192e5e77d147d6313a9dd3754c9a79,EVMI2CD,2022/10/17,21055,10
579,579,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2c192e5e77d147d6313a9dd3754c9a79,EVMI2CD,2022/11/14,18554,11
580,580,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2c192e5e77d147d6313a9dd3754c9a79,EVMI2CD,2022/12/12,6394,12
581,581,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2c192e5e77d147d6313a9dd3754c9a79,EVMI2CD,2023/1/9,11106,13
582,582,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,35b31be16edf886e4e1de5eb4f013b03,EVMI2CD,2022/7/11,72,0
583,583,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,35b31be16edf886e4e1de5eb4f013b03,EVMI2CD,2022/8/8,7747,1
584,584,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,35b31be16edf886e4e1de5eb4f013b03,EVMI2CD,2022/9/5,16454,2
585,585,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,35b31be16edf886e4e1de5eb4f013b03,EVMI2CD,2022/10/3,121562,3
586,586,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,35b31be16edf886e4e1de5eb4f013b03,EVMI2CD,2022/10/31,254121,4
